NAME,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
Hydro_fac AS-IND-WE,7.9,8.1,7,6.9,8.8,67.4,67.4,67.4,67.4,28.2,10.2,7.9
Hydro_fac AS-IRN,40.3,40.8,44.5,20.7,10.8,8.7,6.1,5.6,5.5,6.9,23,40.6
Hydro_fac AS-IRQ,33.7,33.7,33.7,22.9,10.7,3.6,3.4,3.4,3.4,5.8,22.9,33.7
Hydro_fac AS-ISR,44.6,44.6,44.6,44.5,29.1,6.6,4.5,4.5,4.6,13.4,33.7,44.6
Hydro_fac AS-JOR,33.7,33.7,33.7,22.9,10.7,3.6,3.4,3.4,3.4,5.8,22.9,33.7
Hydro_fac AS-JPN-CE,15.4,17.8,29.2,29.9,17.3,25.4,29.9,16.2,29.4,19.7,21.9,18.5
Hydro_fac AS-JPN-HO,3.1,3.1,5.4,29.9,29.9,15,11.9,24.2,27.2,29.9,29.8,12.1
Hydro_fac AS-JPN-KY,3.1,8.1,11.9,16,12.5,29.9,29.9,29.9,29.9,6.3,5.8,3
Hydro_fac AS-JPN-OK,5.1,12.3,28.6,30.7,30.7,30.7,16.4,30.7,30.3,6.7,6,3.1
Hydro_fac AS-JPN-SH,26.8,26.2,29.9,29.9,19.2,23.6,29.9,14.7,28.9,17.2,27.1,29.9
Hydro_fac AS-JPN-TO,6.4,8.6,24.3,29.9,13.9,18.8,29.5,28,29.9,22.6,23.8,16.1
Hydro_fac AS-KAZ,7.1,8.5,24.4,71,71,71,71,39.8,30.2,31.7,18.1,8.4
Hydro_fac AS-KGZ,22.6,23.8,45.1,80,80,80,78.1,49.3,40.6,44.3,29.7,23.7
Hydro_fac AS-KHM,6.2,6.4,7.2,14,29.9,57.1,61.9,61.9,61.9,41.9,15.3,8.6
Hydro_fac AS-KOR,4.5,11.3,22,20.9,17,37,37.3,37.3,37.3,13.7,12.1,5.4
Hydro_fac AS-KWT,33.7,33.7,33.7,22.9,10.7,3.6,3.4,3.4,3.4,5.8,22.9,33.7
Hydro_fac AS-LAO,34.6,34.9,36,42,66.6,80,80,80,80,54.2,36.6,34.6
Hydro_fac AS-LBN,44.6,44.6,44.6,44.5,29.1,6.6,4.5,4.5,4.6,13.4,33.7,44.6
Hydro_fac AS-LKA,6.1,6.5,7.4,15.1,31.3,61.1,61.1,61.1,39.2,61.1,44.7,10.4
Hydro_fac AS-MMR,15,14.7,14.7,16.1,37.6,74.5,80,80,80,74.1,39.2,15.3
Hydro_fac AS-MNG,6.9,8.5,22,38.1,55.5,68.9,68.9,68.9,68.9,35.3,9.1,7
Hydro_fac AS-MYS,34.2,19.1,21.5,27.3,28.4,23.4,21.5,30.3,52.3,55.3,55.3,55.3
Hydro_fac AS-NPL,8,7.8,8.5,10.8,24.3,78.4,78.4,78.4,78.4,19.9,7.9,8.5
Hydro_fac AS-OMN,33.7,33.7,33.7,22.9,10.7,3.6,3.4,3.4,3.4,5.8,22.9,33.7
Hydro_fac AS-PAK,30.5,51.3,68.5,75.5,71.2,64.9,69.1,67.6,42.2,19,14.7,22.5
Hydro_fac AS-PHL,15,9.3,8,8.3,21.8,33.2,41.4,39.2,42,42,32,23.7
Hydro_fac AS-PRK,4.6,6.2,15.5,42.8,36.9,43,45.5,45.5,45.4,18.3,12.3,5.5
Hydro_fac AS-QAT,33.7,33.7,33.7,22.9,10.7,3.6,3.4,3.4,3.4,5.8,22.9,33.7
Hydro_fac AS-RUS-CE,12.6,21,59.9,67.3,61.9,55.8,55.3,47.9,54.1,63.7,61.5,21.3
Hydro_fac AS-RUS-FE,8.5,9.6,13.7,62.2,67.6,65.5,44.1,52.3,63.8,54.1,48.4,14.6
Hydro_fac AS-RUS-MV,8.7,12.6,51,67.4,67.6,64.4,60.3,52,58.7,64.4,56.2,14.4
Hydro_fac AS-RUS-NW,15.3,20.8,37.1,65.6,67,65.6,56.2,46.8,49.4,47.7,40.2,20.5
Hydro_fac AS-RUS-SI,8.7,10.1,19.4,58.2,66.1,65.2,65.2,49.7,46.6,32.9,19.2,9.9
Hydro_fac AS-RUS-SO,21.1,29.4,44.3,67.7,67.7,67.6,56.2,43.2,43.2,43.9,38.9,27
Hydro_fac AS-RUS-UR,10.2,12.4,25.8,66.9,67.4,64.3,60.4,48,53.6,52,30.1,12.7
Hydro_fac AS-SAU,33.7,33.7,33.7,22.9,10.7,3.6,3.4,3.4,3.4,5.8,22.9,33.7
Hydro_fac AS-SGP,34.2,19.1,21.5,27.3,28.4,23.4,21.5,30.3,52.3,55.3,55.3,55.3
Hydro_fac AS-SYR,44.6,44.6,44.6,44.5,29.1,6.6,4.5,4.5,4.6,13.4,33.7,44.6
Hydro_fac AS-THA,5.2,5.1,6.4,10.3,31.5,42.3,43.9,44.5,46.7,37.8,14.8,9.5
Hydro_fac AS-TJK,9.8,13.1,38.7,80,80,80,76.1,30,17.6,16.4,13.2,13.2
Hydro_fac AS-TKM,44.4,46.2,68.6,80,80,80,71.5,53.5,54.9,76.2,65.8,48.1
Hydro_fac AS-TLS,48.1,44.8,47.4,44.4,30.1,17.3,12,12.9,20.3,29,46.9,55.7
Hydro_fac AS-TUR,42.6,48.1,51.5,49.5,39.1,22,9.9,9,8.8,18.5,38,46.5
Hydro_fac AS-TWN,5.1,12.3,28.6,30.7,30.7,30.7,16.4,30.7,30.3,6.7,6,3.1
Hydro_fac AS-UZB,44.4,46.2,68.6,80,80,80,71.5,53.5,54.9,76.2,65.8,48.1
Hydro_fac AS-VNM,19.4,19,20.8,28.2,52.5,63.1,64.6,65,80,67.3,46,39.1
Hydro_fac AS-YEM,33.7,33.7,33.7,22.9,10.7,3.6,3.4,3.4,3.4,5.8,22.9,33.7
Hydro_fac EU-ALB,56.8,59.3,54.1,41.6,19.7,9.9,6.9,6.4,19.5,37.7,59.3,59.3
Hydro_fac EU-ARM,3.9,6.5,39.3,39.3,39.3,39.3,16.6,12.6,11.8,12.3,11.3,6.2
Hydro_fac EU-AUT,26.6,28.9,40,45.9,48.1,50.8,51.1,44.2,40.4,40.1,41.1,34.5
Hydro_fac EU-AZE,3.8,9.5,38.5,38.5,38.5,38.5,29.5,24.1,22.1,24.2,23.1,9
Hydro_fac EU-BEL,20.9,20.9,20.9,10.9,7.3,6.3,6,3.9,5.7,12.4,18.5,20.9
Hydro_fac EU-BGR,19.4,26.9,26.9,25.7,23.8,12.7,9.2,4.5,4.3,7.7,17.3,20.8
Hydro_fac EU-BIH,39.8,44.5,48.4,47,19.3,11.8,8.2,8.7,22.7,42.3,49,49
Hydro_fac EU-BLR,12.6,21,59.9,67.3,61.9,55.8,55.3,47.9,54.1,63.7,61.5,21.3
Hydro_fac EU-CHE,20.5,21.4,29.2,40.3,45.3,44.9,41.6,31.7,37.3,45.4,37.2,29.8
Hydro_fac EU-CYP,42.6,48.1,51.5,49.5,39.1,22,9.9,9,8.8,18.5,38,46.5
Hydro_fac EU-CZE,17.9,18.3,18.5,16.9,10.3,12.1,14.4,10.8,9.6,10,14.8,18.5
Hydro_fac EU-DEU,36.5,36.9,38.2,26.8,22.5,24.8,25,20.7,20.2,26.6,37.6,38.2
Hydro_fac EU-DNK,36.5,36.9,38.2,26.8,22.5,24.8,25,20.7,20.2,26.6,37.6,38.2
Hydro_fac EU-ESP,33.1,33.1,22.7,26.2,20.3,11.8,5.3,4.6,8.5,21.7,32.9,33.3
Hydro_fac EU-EST,18.4,18.9,25.3,25.3,16.3,18.1,18.9,16.5,22.8,25.3,25.3,21.2
Hydro_fac EU-FIN,44.8,48.4,42,38.4,62.2,55.8,53.9,48.4,44.8,58.5,56.7,48.4
Hydro_fac EU-FRA,38.2,38.4,34.7,34.9,28.3,19,10.4,8,17.6,34,40.8,41
Hydro_fac EU-GBR,34.5,33.7,32.2,15.1,8.4,6,5.5,8,17.2,30.7,34.5,34.5
Hydro_fac EU-GEO,8.9,9.4,30.7,50.1,50.1,50.1,37.8,30.6,30.2,40.4,29.3,12.9
Hydro_fac EU-GRC,30.5,31.9,28.3,17.5,9.7,5.6,4.1,3.3,3.9,15.5,30.3,31.9
Hydro_fac EU-HRV,43.8,46,48.3,43.1,30.1,21.2,14.7,14.2,32.3,49,52.9,49.1
Hydro_fac EU-HUN,16.3,20.2,24.9,24.9,24.3,24.9,23.6,20.1,21.1,22,22.9,19.6
Hydro_fac EU-IRL,38.8,38.8,29.6,15.2,9,7.1,4.6,7.6,10.4,28.6,38.8,38.8
Hydro_fac EU-ISL,45.2,45.9,58.5,74.2,75.5,65.3,58,54.5,61.5,71.7,68.7,49.4
Hydro_fac EU-ITA,17.2,19.4,21.8,26.1,34.7,32.7,26.7,19.3,26.6,39.4,28.6,21.5
Hydro_fac EU-LTU,13.9,13.8,15,15,9.2,10.4,12,8.2,9.6,12.3,15,15
Hydro_fac EU-LUX,16.5,16.5,16.5,8.4,4.8,4.5,4.2,2,4.3,12.4,16,16.5
Hydro_fac EU-LVA,18.4,18.9,25.3,25.3,16.3,18.1,18.9,16.5,22.8,25.3,25.3,21.2
Hydro_fac EU-MDA,42.6,59.2,80,80,72.1,80,80,52.4,60.2,49.7,53.8,58.9
Hydro_fac EU-MKD,37.9,45.4,45.4,36.4,21.3,12.6,7.4,5.6,11.9,22.9,44.8,45.4
Hydro_fac EU-MLT,17.2,19.4,21.8,26.1,34.7,32.7,26.7,19.3,26.6,39.4,28.6,21.5
Hydro_fac EU-MNE,70.7,77.1,76.3,71.2,27.2,12.7,8.3,11.3,40,78,80,80
Hydro_fac EU-NLD,36.5,36.9,38.2,26.8,22.5,24.8,25,20.7,20.2,26.6,37.6,38.2
Hydro_fac EU-NOR,63.1,58.6,52.2,49.2,45.4,42.5,42.1,44.9,44.2,49.4,49.7,59.2
Hydro_fac EU-POL,18.2,19.7,21.1,18.9,11.8,13.6,15.7,11.8,12.3,13.5,17,19.9
Hydro_fac EU-PRT,42.9,42.9,25.6,27.4,19.6,9.8,5.4,4.3,7.5,26.6,42.3,42.9
Hydro_fac EU-ROU,14.8,21.6,37.8,37.8,36.6,37,32.7,23.1,22.8,24.1,22.9,22
Hydro_fac EU-SRB,44.9,53.4,54.8,54.8,39.3,32,27,21.1,31.9,45.7,54.8,54.8
Hydro_fac EU-SVK,16.3,20.2,24.9,24.9,24.3,24.9,23.6,20.1,21.1,22,22.9,19.6
